TSM,4,sloanies10,0.0,12/30/20
TREX,5,mmatalon,0.0,12/30/20
BB,3,gregburnett,0.0,12/30/20
T,2,gregburnett,0.0,12/30/20
IBM,2,gregburnett,0.0,12/30/20
CWBHF,4,gregburnett,0.0,12/30/20
ASML,5,bradgtodd,0.0,12/30/20
FVRR,5,anomie8,0.0,12/30/20
FVRR,5,alwaysafounder11,0.0,12/30/20
PINS,5,shea1963,0.0,12/30/20
JCOM,3,ezrider37677,0.0,12/30/20
CRWD,5,ezrider37677,0.0,12/30/20
MGNI,5,vbreezy,0.0,12/30/20
SQ,5,bvessels,0.0,12/30/20
EVBG,4,bvessels,0.0,12/30/20
SHOP,4,romu,0.0,12/30/20
PINS,5,romu,0.0,12/30/20
YETI,3,romu,0.0,12/30/20
ZM,4,romu,0.0,12/30/20
PYPL,5,romu,0.0,12/30/20
DOCU,5,romu,0.0,12/30/20
NEM,5,romu,0.0,12/30/20
DVA,3,romu,0.0,12/30/20
NEE,4,romu,0.0,12/30/20
VXRT,1,romu,0.0,12/30/20
COUP,4,romu,0.0,12/30/20
GOLD,4,romu,0.0,12/30/20
NOW,4,romu,0.0,12/30/20
LOB,4,romu,0.0,12/30/20
JNJ,4,romu,0.0,12/30/20
APPN,5,romu,0.0,12/30/20
SE,5,romu,0.0,12/30/20
SQ,5,romu,0.0,12/30/20
CRWD,5,romu,0.0,12/30/20
ABEV,2,agnes3312,0.0,12/30/20
QRVO,4,romu,0.0,12/30/20
IQ,4,deerhunter31,0.0,12/30/20
HUYA,4,deerhunter31,0.0,12/30/20
BZUN,4,deerhunter31,0.0,12/30/20
PLTR,4,deerhunter31,0.0,12/30/20
NTNX,4,deerhunter31,0.0,12/30/20
TDOC,5,romu,0.0,12/30/20
U,5,romu,0.0,12/30/20
PDCE,0,rowtheboat,0.0,12/30/20
CRNC,5,romu,0.0,12/30/20
FVRR,5,romu,0.0,12/30/20
SEDG,4,romu,0.0,12/30/20
TSLA,2,romu,0.0,12/30/20
ZG,4,tmf2decadeview,0.0,12/30/20
LMND,5,romu,0.0,12/30/20
AMGN,4,rowtheboat,0.0,12/30/20
FLGT,5,way,0.0,12/30/20
ZM,4,way,0.0,12/30/20
CRSP,4,way,0.0,12/30/20
FBC,0,rowtheboat,0.0,12/30/20
ZM,4,npreem,0.0,12/30/20
SNPS,5,bradgtodd,0.0,12/30/20
SQ,5,wucorle1,0.0,12/30/20
INO,2,mlane111,0.0,12/30/20
DDD,3,mlane111,0.0,12/30/20
ALK,3,mlane111,0.0,12/30/20
LMND,5,colchaguaunido,0.0,12/30/20
FCEL,2,gengler41,0.0,12/30/20
TTD,5,tdkid871,0.0,12/30/20
